Prolific_id,Time taken,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Total approvals,Status
participant_592,17.1,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1150,APPROVED
participant_587,34.03333333333333,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,246,APPROVED
participant_566,15.016666666666667,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,144,APPROVED
participant_588,17.633333333333333,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,87,APPROVED
participant_590,16.25,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,713,APPROVED
participant_579,12.0,43,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time,357,APPROVED
participant_564,16.083333333333332,19,Female,White,Slovakia,Slovakia,Slovakia,Slovak,Yes,Other,76,APPROVED
participant_568,12.75,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,198,APPROVED
participant_576,39.81666666666667,52,Male,White,United States,United States,United States,English,No,Full-Time,618,APPROVED
participant_571,34.0,27,Female,Black,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",650,APPROVED
participant_569,55.78333333333333,52,Male,Asian,Philippines,United Kingdom,Philippines,English,No,Part-Time,241,APPROVED
participant_570,11.7,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,158,APPROVED
participant_578,37.7,19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,131,APPROVED
participant_565,25.533333333333335,26,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,799,APPROVED
participant_575,18.533333333333335,56,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED,67,APPROVED
participant_589,8.25,23,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time,21,APPROVED
participant_584,20.5,47,Male,White,Germany,Germany,Germany,German,No,Full-Time,234,APPROVED
participant_567,18.666666666666668,72,Female,White,United States,Switzerland,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",979,APPROVED
participant_572,14.333333333333334,58,Male,White,South Africa,South Africa,South Africa,English,No,Full-Time,361,APPROVED
participant_586,18.45,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking),241,APPROVED
participant_573,12.916666666666666,51,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,193,APPROVED
participant_585,14.383333333333333,33,Male,White,Italy,Italy,Italy,Italian,Yes,Other,206,APPROVED
participant_580,15.95,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,1337,APPROVED
participant_582,18.5,28,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,595,APPROVED
participant_617,16.883333333333333,29,Male,White,United States,United States,United States,English,No,Part-Time,6,APPROVED
participant_604,41.65,51,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,126,APPROVED
participant_594,12.6,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,2739,APPROVED
participant_607,18.05,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,351,APPROVED
participant_611,8.066666666666666,19,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,Unemployed (and job seeking),43,APPROVED
participant_601,10.716666666666667,27,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time,513,APPROVED
participant_598,19.866666666666667,19,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,138,APPROVED
participant_593,10.083333333333334,24,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,75,APPROVED
participant_605,14.25,43,Male,White,Denmark,Denmark,Denmark,Danish,No,Full-Time,278,APPROVED
participant_595,12.15,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,241,APPROVED
participant_615,16.283333333333335,25,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking),188,APPROVED
participant_618,12.2,56,Female,Other,Spain,Spain,Spain,English,No,Full-Time,548,APPROVED
participant_597,18.616666666666667,52,Female,White,Poland,Poland,Poland,Polish,No,DATA_EXPIRED,912,APPROVED
participant_610,64.91666666666667,48,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,111,APPROVED
participant_619,16.666666666666668,34,Male,White,France,France,France,French,No,Unemployed (and job seeking),286,APPROVED
participant_612,21.75,56,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time,162,APPROVED
participant_596,23.433333333333334,32,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time,81,APPROVED
participant_613,29.733333333333334,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,0,APPROVED
participant_606,21.233333333333334,19,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,4,APPROVED
participant_599,11.616666666666667,33,Female,White,Poland,Poland,Poland,Polish,No,Full-Time,721,APPROVED
participant_600,26.716666666666665,25,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),5,APPROVED
participant_616,23.966666666666665,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,644,APPROVED
participant_602,14.916666666666666,39,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,422,APPROVED
participant_608,19.8,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",710,APPROVED
participant_622,18.75,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,1,APPROVED
participant_626,17.9,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,202,APPROVED
participant_625,12.95,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time,481,APPROVED
participant_627,15.683333333333334,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),77,APPROVED
participant_638,9.15,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,48,APPROVED
participant_624,12.95,37,Female,White,Ukraine,United Kingdom,Ukraine,Ukrainian,No,Full-Time,61,APPROVED
participant_636,12.916666666666666,20,Male,Other,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking),54,APPROVED
participant_645,19.316666666666666,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,445,APPROVED
participant_621,31.783333333333335,24,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),310,APPROVED
participant_639,22.483333333333334,23,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time,592,APPROVED
participant_635,10.366666666666667,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,101,APPROVED
participant_629,13.05,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking),250,APPROVED
participant_632,18.433333333333334,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,531,APPROVED
participant_628,13.533333333333333,28,Male,Other,Israel,Israel,Israel,Russian,Yes,Part-Time,780,APPROVED
participant_634,11.6,25,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time,453,APPROVED
participant_623,21.416666666666668,24,Female,White,Russian Federation,Italy,Russian Federation,Russian,Yes,Other,420,APPROVED
participant_641,22.083333333333332,28,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time,59,APPROVED
participant_643,29.566666666666666,35,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),762,APPROVED
participant_620,19.466666666666665,37,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,191,APPROVED
participant_642,21.15,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,1656,APPROVED
participant_644,19.466666666666665,54,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,151,APPROVED
participant_640,30.283333333333335,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,140,APPROVED
participant_630,7.65,26,Male,Black,South Africa,South Africa,South Africa,Other,No,Full-Time,5,APPROVED
participant_637,20.3,43,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,1514,APPROVED
