Prolific_id,Time taken,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Total approvals,Status
participant_21,6.8,25,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time,162,APPROVED
participant_6,14.816666666666666,34,Female,Black,South Africa,South Africa,South Africa,French,No,Full-Time,46,APPROVED
participant_14,12.95,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,102,APPROVED
participant_18,9.833333333333334,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,1166,APPROVED
participant_3,10.2,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,561,APPROVED
participant_5,12.383333333333333,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,167,APPROVED
participant_20,10.9,32,Female,Other,Chile,Spain,Spain,Spanish,No,Full-Time,499,APPROVED
participant_1,11.55,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),216,APPROVED
participant_15,9.016666666666667,26,Female,White,Italy,United Kingdom,Italy,English,No,Part-Time,40,APPROVED
participant_9,12.283333333333333,31,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED,608,APPROVED
participant_10,13.0,36,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,89,APPROVED
participant_23,10.916666666666666,29,Female,Black,Germany,United Kingdom,Germany,German,No,Unemployed (and job seeking),129,APPROVED
participant_0,8.883333333333333,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,706,APPROVED
participant_11,12.066666666666666,28,Prefer not to say,White,Fiji,United Kingdom,Ireland,English,No,Part-Time,118,APPROVED
participant_22,17.35,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,1706,APPROVED
participant_17,18.5,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",541,APPROVED
participant_24,21.266666666666666,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,0,APPROVED
participant_4,19.2,28,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,343,APPROVED
participant_12,9.65,37,Male,Asian,India,United Kingdom,India,Tamil,No,Full-Time,362,APPROVED
participant_2,8.316666666666666,26,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time,136,APPROVED
participant_16,29.8,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,194,APPROVED
participant_19,47.21666666666667,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,68,APPROVED
participant_8,32.36666666666667,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,42,APPROVED
participant_13,14.1,43,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time,299,APPROVED
participant_49,36.93333333333333,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time,73,APPROVED
participant_45,41.983333333333334,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,100,APPROVED
participant_30,12.6,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,323,APPROVED
participant_44,13.183333333333334,38,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,172,APPROVED
participant_25,21.25,20,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Unemployed (and job seeking),124,APPROVED
participant_31,20.033333333333335,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,91,APPROVED
participant_57,27.95,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED,162,APPROVED
participant_37,64.98333333333333,31,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED,733,APPROVED
participant_54,12.333333333333334,30,Female,Asian,Bangladesh,Hungary,Bangladesh,Bengali,No,Full-Time,628,APPROVED
participant_47,25.0,32,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time,566,APPROVED
participant_55,41.25,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time,197,APPROVED
participant_50,23.916666666666668,54,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time,195,APPROVED
participant_28,24.45,44,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Part-Time,7,APPROVED
participant_36,17.683333333333334,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,237,APPROVED
participant_39,44.1,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,19,APPROVED
participant_27,35.5,66,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,68,APPROVED
participant_42,27.883333333333333,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,8,APPROVED
participant_58,23.65,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,1,APPROVED
participant_60,30.2,27,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,183,APPROVED
participant_51,21.616666666666667,25,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,809,APPROVED
participant_38,12.616666666666667,41,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time,329,APPROVED
participant_29,24.666666666666668,33,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,175,APPROVED
participant_48,23.083333333333332,40,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,152,APPROVED
participant_26,9.7,28,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time,21,APPROVED
participant_72,13.416666666666666,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,102,APPROVED
participant_73,17.266666666666666,57,Female,White,Canada,Canada,Canada,English,No,Full-Time,351,APPROVED
participant_90,12.75,27,Female,White,Croatia,Croatia,Croatia,Croatian,No,DATA_EXPIRED,25,APPROVED
participant_78,20.3,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,46,APPROVED
participant_83,41.233333333333334,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,27,APPROVED
participant_85,19.133333333333333,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,36,APPROVED
participant_79,15.5,22,Female,Black,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED,199,APPROVED
participant_86,11.5,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,2373,APPROVED
participant_74,12.616666666666667,23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking),119,APPROVED
participant_66,16.766666666666666,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,78,APPROVED
participant_77,18.95,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),0,APPROVED
participant_68,39.45,28,Male,White,Lithuania,United Kingdom,Lithuania,English,No,Part-Time,174,APPROVED
participant_62,12.016666666666667,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,85,APPROVED
participant_91,20.433333333333334,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),532,APPROVED
participant_64,19.283333333333335,33,Male,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time,144,APPROVED
participant_84,8.6,37,Male,White,Croatia,Croatia,Croatia,Croatian,No,Full-Time,24,APPROVED
participant_70,17.216666666666665,28,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,607,APPROVED
participant_88,11.966666666666667,32,Male,White,Poland,Poland,Poland,Polish,No,Other,880,APPROVED
participant_65,17.2,37,Female,Black,South Africa,South Africa,South Africa,Other,No,Part-Time,348,APPROVED
participant_67,22.566666666666666,42,Female,White,Austria,Austria,Austria,German,No,Part-Time,154,APPROVED
participant_81,34.46666666666667,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,245,APPROVED
participant_89,19.016666666666666,30,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time,572,APPROVED
participant_76,10.9,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,1995,APPROVED
participant_87,47.166666666666664,33,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,15,APPROVED
participant_107,23.783333333333335,32,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,121,APPROVED
participant_94,14.766666666666667,22,Male,Other,Egypt,Hungary,Egypt,Arabic,Yes,Other,184,APPROVED
participant_119,12.666666666666666,50,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Full-Time,66,APPROVED
participant_100,9.983333333333333,35,Male,Mixed,Spain,Spain,Spain,Spanish,No,Full-Time,32,APPROVED
participant_106,10.533333333333333,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,618,APPROVED
participant_124,31.166666666666668,23,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED,240,APPROVED
participant_128,13.4,23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,408,APPROVED
participant_117,17.05,28,Female,Other,Morocco,Spain,Spain,Spanish,Yes,Full-Time,116,APPROVED
participant_105,17.016666666666666,34,Male,Asian,India,Finland,India,Telugu,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",267,APPROVED
participant_93,8.666666666666666,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,1259,APPROVED
