image,tense,energetic,valence,approach,room_type
bedroom__0.png,2.9583333333333335,3.0416666666666665,3.8095238095238093,3.6666666666666665,bedroom
bedroom__1.png,3.5416666666666665,3.5,3.1739130434782608,3.1739130434782608,bedroom
bedroom__10.png,2.7916666666666665,3.5833333333333335,3.8260869565217392,3.782608695652174,bedroom
bedroom__100.png,2.7142857142857144,4.0476190476190474,4.791666666666667,4.708333333333333,bedroom
bedroom__101.png,4.791666666666667,4.416666666666667,2.3636363636363638,2.0,bedroom
bedroom__102.png,2.4347826086956523,3.0,4.7894736842105265,4.684210526315789,bedroom
bedroom__103.png,3.0833333333333335,3.1666666666666665,3.8260869565217392,3.8260869565217392,bedroom
bedroom__104.png,2.8333333333333335,3.6666666666666665,4.125,4.291666666666667,bedroom
bedroom__105.png,3.9523809523809526,4.095238095238095,4.375,4.458333333333333,bedroom
bedroom__106.png,2.142857142857143,2.619047619047619,5.541666666666667,5.666666666666667,bedroom
bedroom__107.png,5.0,3.8095238095238093,2.625,2.7916666666666665,bedroom
bedroom__108.png,3.2916666666666665,3.5833333333333335,4.565217391304348,4.782608695652174,bedroom
bedroom__109.png,2.5,2.2083333333333335,4.166666666666667,4.208333333333333,bedroom
bedroom__11.png,1.7916666666666667,2.375,5.782608695652174,5.782608695652174,bedroom
bedroom__110.png,2.217391304347826,3.4347826086956523,4.708333333333333,4.625,bedroom
bedroom__111.png,4.666666666666667,4.095238095238095,2.8333333333333335,2.7083333333333335,bedroom
bedroom__112.png,3.75,3.1666666666666665,3.5217391304347827,3.4782608695652173,bedroom
bedroom__113.png,2.7083333333333335,2.5,5.478260869565218,5.260869565217392,bedroom
bedroom__114.png,2.5,3.25,4.75,4.75,bedroom
bedroom__115.png,2.6666666666666665,3.5714285714285716,5.458333333333333,5.5,bedroom
bedroom__116.png,2.3333333333333335,2.8333333333333335,5.0,5.041666666666667,bedroom
bedroom__117.png,2.782608695652174,2.130434782608696,3.9565217391304346,3.5217391304347827,bedroom
bedroom__118.png,2.5714285714285716,3.3333333333333335,5.416666666666667,5.583333333333333,bedroom
bedroom__119.png,2.2916666666666665,2.5833333333333335,3.652173913043478,3.652173913043478,bedroom
bedroom__12.png,2.2916666666666665,2.125,4.458333333333333,4.416666666666667,bedroom
bedroom__120.png,2.0869565217391304,2.0869565217391304,4.291666666666667,4.125,bedroom
bedroom__121.png,1.9166666666666667,3.0833333333333335,6.142857142857143,6.190476190476191,bedroom
bedroom__122.png,3.652173913043478,3.1739130434782608,2.7083333333333335,2.7083333333333335,bedroom
bedroom__123.png,2.0,2.4782608695652173,5.526315789473684,5.526315789473684,bedroom
bedroom__124.png,2.3333333333333335,3.3333333333333335,5.208333333333333,5.125,bedroom
bedroom__125.png,2.761904761904762,4.0476190476190474,5.208333333333333,5.458333333333333,bedroom
bedroom__126.png,1.7916666666666667,2.4583333333333335,5.541666666666667,5.708333333333333,bedroom
bedroom__127.png,3.5833333333333335,3.1666666666666665,4.416666666666667,4.458333333333333,bedroom
bedroom__128.png,2.75,3.8333333333333335,3.409090909090909,3.3181818181818183,bedroom
bedroom__129.png,2.875,2.7916666666666665,4.208333333333333,4.083333333333333,bedroom
bedroom__13.png,3.0,2.5416666666666665,4.125,4.166666666666667,bedroom
bedroom__130.png,2.4166666666666665,3.0833333333333335,4.208333333333333,4.125,bedroom
bedroom__131.png,1.7083333333333333,2.625,6.583333333333333,6.583333333333333,bedroom
bedroom__132.png,2.260869565217391,2.391304347826087,5.7368421052631575,5.526315789473684,bedroom
bedroom__133.png,2.6666666666666665,3.3333333333333335,4.5,4.458333333333333,bedroom
bedroom__134.png,2.4347826086956523,3.5217391304347827,4.291666666666667,3.875,bedroom
bedroom__135.png,3.2916666666666665,3.5416666666666665,3.4347826086956523,3.4347826086956523,bedroom
bedroom__136.png,2.1904761904761907,3.6666666666666665,5.826086956521739,5.913043478260869,bedroom
bedroom__137.png,2.5652173913043477,2.4782608695652173,4.052631578947368,4.105263157894737,bedroom
bedroom__138.png,2.857142857142857,3.2857142857142856,4.375,4.458333333333333,bedroom
bedroom__139.png,3.125,2.75,4.130434782608695,4.173913043478261,bedroom
bedroom__14.png,2.1666666666666665,3.0416666666666665,4.521739130434782,4.608695652173913,bedroom
