id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
1;session_977;26/03/2025 10:03;AIDEI8A;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;4618,9;9065,3;9057,4;9074,5;13693,4;13693,6;2025-03-26T09:03:36.132Z;13691,2;;;;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Prolific ID;html.Form;1;;;;form submission;6022;13693,8;13690,732;13691,2;19713,2;19713,3;2025-03-26T09:03:42.152Z;19724,5;TESTFATIH;;;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Experiment Information;html.Form;2;;;;form submission;1950,2;19713,5;19708,088;19724,5;21674,7;21674,9;2025-03-26T09:03:44.114Z;21691,2;;;;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,5;21675;21674,894;21691,2;21691,9;21692,1;2025-03-26T09:03:44.131Z;21707,7;;static\living room_0.png;0.0;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;2365,5;21692,3;21691,9;21707,7;24073,2;24073,4;2025-03-26T09:03:46.512Z;24074,564;;static\living room_0.png;0.0;7.0;6.0;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;2382;21675;21674,894;21691,2;24073,2;24073,6;2025-03-26T09:03:46.512Z;24074,564;;static\living room_0.png;0.0;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,336;24073,7;24074,564;24074,564;24077,7;24077,9;2025-03-26T09:03:46.517Z;24090,9;;static\office room_24.png;1.0;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;1878,4;24078,1;24077,7;24090,9;25969,3;25969,5;2025-03-26T09:03:48.408Z;25974,4;;static\office room_24.png;1.0;5.0;6.0;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;1894,736;24073,6;24074,564;24074,564;25969,3;25969,6;2025-03-26T09:03:48.408Z;25974,4;;static\office room_24.png;1.0;;;;
2;session_977;26/03/2025 10:03;AIDEI8A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,7;25969,6;25958,03;25974,4;25976;25976,3;2025-03-26T09:03:48.415Z;25991,1;;static\restaurant_80.png;2.0;;;;
