id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.valence;data.approach;data.img_idx;data.counter_main
1;session_261;18/03/2025 13:11;AIDEI18V;[List];[Record];Consent Form;html.Form;0;True;True;;form submission;5038,1;8357,9;8341,1;8358,2;13396,3;13396,6;2025-03-18T12:11:07.952Z;13425,1;;;;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Prolific ID;html.Form;1;;;;form submission;2537,4;13396,8;13407,858;13425,1;15962,5;15962,7;2025-03-18T12:11:10.519Z;15974,3;TESTFATIH;;;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Experiment Information;html.Form;2;;;;form submission;7879,2;15963;15958,39;15974,3;23853,5;23853,7;2025-03-18T12:11:18.409Z;23858,2;;;;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,3;23853,9;23842;23858,2;23863,9;23864,5;2025-03-18T12:11:18.420Z;23874,5;;static\living room_0.png;0.0;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;2002,2;23864,7;23863,9;23874,5;25876,7;25877;2025-03-18T12:11:20.433Z;25891,4;;static\living room_0.png;0.0;6.0;6.0;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;2018,5;23853,9;23842;23858,2;25876,7;25877,3;2025-03-18T12:11:20.433Z;25891,4;;static\living room_0.png;0.0;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;17;25877,5;25875,066;25891,4;25891,8;25892,1;2025-03-18T12:11:20.448Z;25908,4;;static\office room_24.png;1.0;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;2103,9;25892,2;25891,8;25908,4;28012,3;28012,6;2025-03-18T12:11:22.568Z;28025,1;;static\office room_24.png;1.0;5.0;5.0;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;2120,9;25877,4;25875,066;25891,4;28012,3;28012,8;2025-03-18T12:11:22.569Z;28025,1;;static\office room_24.png;1.0;;;;
2;session_261;18/03/2025 13:11;AIDEI18V;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,4;28013;28008,396;28025,1;28025,4;28025,6;2025-03-18T12:11:22.581Z;28041,5;;static\restaurant_80.png;2.0;;;;
