,image,edge_density,mean_h_channel,mean_s_channel,mean_v_channel,std_h_channel,std_s_channel,std_v_channel,cnn_symmetry_left_right,cnn_symmetry_up_down,slope_redies,fourier_sigma,2d_fractal_dimension,1st_order_eoe,room_type,reading,gaming,socializing,cleaning,playing,exercise,working,shopping,enclosed area,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,plant,chair,"painting, picture",sofa,lamp,cushion,flower,book,light,orientation5,length7,curvature7
0,dining room home_12233.png,148.973,0.0707,0.3309,0.4779,0.1662,0.2444,0.3117,0.485,0.4652,-2.716,0.00768,1.449,4.153,dining,0.5811908179765408,0.2727111545619009,0.4310119206706396,0.2621522849124458,0.2391722460676059,0.2001994841519316,0.3169003687409037,0.264889659783505,0.7500878741479714,0.1972385746328839,0.1886384488799915,0.2769034157156537,0,1,0,1,1,1,1,0,0,0,1,0,0,2767.46449294345,0.0,21.8834058353373
1,dining room home_12238.png,89.446,0.08594,0.4732,0.6634,0.04343,0.2377,0.1722,0.4183,0.4012,-2.513,0.01049,1.472,4.04,dining,0.4370547669692378,0.2803291186546715,0.3987949696333228,0.2788210196889696,0.2474782080842367,0.2433329997056303,0.3160607667714082,0.2730192967058021,0.7654536772660768,0.2805959667845135,0.2303458003072985,0.2679741704541826,0,1,1,1,0,1,1,1,1,1,0,0,0,3331.68330481151,188.320250466989,13.5525029620257
2,dining room home_12239.png,92.41,0.08425,0.2742,0.5357,0.1038,0.2715,0.2192,0.4342,0.3687,-2.813,0.0128,1.438,4.179,dining,0.5300430632015687,0.3160437578832671,0.4437235736121829,0.2989890458974678,0.2866469567946834,0.2656719983490654,0.2895359790532317,0.2897835320956118,0.7606185109293961,0.3002276985406009,0.2614200774964865,0.2882823942588633,1,1,0,1,1,1,1,1,1,1,0,0,1,2965.97949840671,386.863004050897,25.7058935366349
3,dining room home_12245.png,80.637,0.09654,0.3201,0.6256,0.1658,0.2644,0.1688,0.3808,0.3423,-2.363,0.009248,1.473,4.266,dining,0.5793327840175494,0.2929030503710428,0.4306759482076987,0.2892942707404305,0.2898097342286952,0.2894126006965178,0.2134982269988035,0.2407808356240443,0.7379040978788565,0.2661646609547485,0.240795141588268,0.3101785634008223,0,1,0,1,0,1,1,0,0,0,0,0,0,3242.70266523824,223.43094682658,9.01063666530805
4,dining room home_12251.png,64.065,0.08549,0.2264,0.5999,0.08825,0.2428,0.1637,0.3539,0.3438,-2.507,0.00557,1.297,4.102,dining,0.5555284097026096,0.2864024742127439,0.3492513385176157,0.2771537858073321,0.2610815576044094,0.2527576667035149,0.2142588007311038,0.1966439741453872,0.757291454267319,0.3072774521470932,0.2559635499891421,0.281051331542491,0,1,0,1,1,1,1,0,1,0,1,1,0,3809.38577917588,357.569396472408,3.22720366780135
5,dining room home_12253.png,66.593,0.02407,0.2374,0.5113,0.1259,0.2735,0.2129,0.4019,0.3334,-2.567,0.0138,1.168,3.973,dining,0.5074111541857222,0.2889589889396096,0.3749371428772232,0.2798701478640261,0.2635888299927654,0.2570513851251347,0.241850865595233,0.233724055820821,0.7877313996861747,0.2332843620124697,0.2146232044797164,0.241067956921533,0,1,0,1,1,1,1,0,0,0,0,0,0,3387.06035035485,0.0,19.1356988440642
6,dining room home_12254.png,110.275,0.05644,0.3493,0.3978,0.1196,0.2171,0.2497,0.4585,0.4346,-2.757,0.009801,1.508,4.144,dining,0.5039534549774863,0.2772930995660914,0.4808743767450246,0.2513359691285126,0.2280465028235715,0.2219476708577817,0.3162968057542746,0.2803889387715638,0.7994611421929158,0.2148930287449895,0.1964381208910021,0.2424788063929162,0,1,0,1,1,1,1,0,1,0,1,0,0,3009.29857606095,443.445738759408,21.5940971578764
7,dining room home_12255.png,100.212,0.06388,0.2756,0.4949,0.1192,0.2132,0.2066,0.4276,0.4003,-2.565,0.008337,1.424,4.306,dining,0.568014957839545,0.2742667400128931,0.4379081739772305,0.2731753062358041,0.2401117322877189,0.2544190248057779,0.2149098123754636,0.2206084142815918,0.7714383705254123,0.2657598424542691,0.2145056007503818,0.2787985605354162,0,1,0,1,0,1,1,1,1,1,0,0,1,3262.80281596932,0.0,16.5799419417878
8,dining room home_12259.png,97.118,0.02677,0.1705,0.5256,0.1071,0.1779,0.2155,0.4591,0.289,-2.629,0.00471,1.507,4.168,dining,0.5256492821744716,0.2762196786468348,0.3950869210254101,0.2904907549445512,0.2703291659798874,0.2477876335091547,0.2693206404574111,0.2637009993078456,0.6740917807294415,0.273743174236741,0.2683690136034523,0.3564991163186632,0,1,0,1,0,1,0,0,1,0,0,0,0,3219.3763379893,191.063148112016,13.9059709301595
9,dining room home_12260.png,111.643,0.9985,0.3537,0.5906,0.1811,0.2519,0.2096,0.4595,0.478,-2.49,0.006423,1.458,4.012,dining,0.5029149588263734,0.283124439020497,0.4013299785184466,0.2679669781404088,0.2278012496917867,0.2218884636011469,0.2421967989673898,0.2555475551684462,0.7423838768524217,0.2495254118107771,0.2491731165205676,0.2643394203776069,0,1,0,1,0,1,1,1,1,0,1,0,1,3924.75578840363,416.892415819467,9.69160496020996
